Created-Date,Updated-Date,Name,Symbol,Logo,Listed,Price,Website,geko_slug,twitter,initial_supply,max_supply,whitepaper_link,Vc_invested,Top_VC,Explorer,Others
24/09/22,24/09/22,Litentry,LIT,https://assets.coingecko.com/coins/images/13825/large/logo_200x200.png?1612153317,Yes,0.607962,https://litentry.com/,litentry,litentry,37619382,100000000,https://docs.litentry.com,15,1,https://etherscan.io/token/0xb59490ab09a0f526cc7305822ac65f2ab12f9723,
24/09/22,24/09/22,Inery,INR,https://assets.coingecko.com/coins/images/26215/large/R9hQxqQK_400x400.jpg?1656577686,No,0.22,https://inery.io/,,ineryblockchain,6000000,800000000,https://inery.gitbook.io/whitepaper/,8,0,https://explorer.inery.io/,
25/09/22,25/09/22,Aleo,,https://icodrops.com/wp-content/uploads/2021/04/Aleo_logo-150x150.jpeg,No(ICO),,https://www.aleo.org/,,AleoHQ,,,,17,4,,
25/09/22,25/09/22,LayerZero,,https://icodrops.com/wp-content/uploads/2021/09/LayerZero_logo-150x150.jpeg,No(ICO),,https://layerzero.network/,,LayerZero_Labs,,,,43,7,,
